Ma³opolskie;12
Podkarpackie;13
Ma³opolskie;14
Œwiêtokrzyskie;15
Podkarpackie;16
Podkarpackie;17
Ma³opolskie;18
Mazowieckie;22
Mazowieckie;23
Mazowieckie;24
Mazowieckie;25
Mazowieckie;29
Œl¹skie;32
Ma³opolskie;33
Œl¹skie;34
Œl¹skie;38
Œwiêtokrzyskie;41
£ódzkie;42
£ódzkie;43
£ódzkie;44
Mazowieckie;46
Mazowieckie;48
Kujawsko-pomorskie;52
Kujawsko-pomorskie;54
Pomorskie;55
Kujawsko-pomorskie;56
Pomorskie;58
Pomorskie;59
Wielkopolskie;61
Wielkopolskie;62
Wielkopolskie;63
Wielkopolskie;65
Wielkopolskie;67
Wielkopolskie;68
Mazowieckie;69
Dolnoœl¹skie;71
Dolnoœl¹skie;74
Dolnoœl¹skie;75
Dolnoœl¹skie;76
Opolskie;77
Mazowieckie;79
Lubelskie;81
Lubelskie;82
Lubelskie;83
Lubelskie;84
Podlaskie;85
Podlaskie;86
Podlaskie;87
Warmiñsko-mazurskie;89
Zachodniopomorskie;91
Zachodniopomorskie;94
Lubuskie;95
